,id_partido,temporada,division,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante,fecha,timestamp,local_posicion_antes,local_posicion_despues,local_puntos,local_jugados,local_ganados,local_empatados,local_perdidos,local_goles_favor,local_goles_contra,local_puntos_antes,local_jugados_antes,local_ganados_antes,local_empatados_antes,local_perdidos_antes,local_goles_favor_antes,local_goles_contra_antes,local_racha_partidos,local_racha_gf,local_racha_gc,visitante_posicion_antes,visitante_posicion_despues,visitante_puntos,visitante_jugados,visitante_ganados,visitante_empatados,visitante_perdidos,visitante_goles_favor,visitante_goles_contra,visitante_puntos_antes,visitante_jugados_antes,visitante_ganados_antes,visitante_empatados_antes,visitante_perdidos_antes,visitante_goles_favor_antes,visitante_goles_contra_antes,visitante_racha_partidos,visitante_racha_gf,visitante_racha_gc,local_home_wins,local_draw,local_away_wins,visitante_home_wins,visitante_draw,visitante_away_wins,probs_equipo_local,probs_equipo_visitante,probs_draw
40082,50011,2021-22,2,38,Burgos-Cf,Almeria,1,0,2022-04-30,1651269600,11,9,53,38,15,8,15,39,35,50,37,14,8,15,38,35,,,,2,2,70,38,21,7,10,58,33,70,37,21,7,9,58,32,,,,0.3518342767882671,-0.5597072663254871,-0.8197734163390988,0.5942689180416029,-1.0192317233128074,-0.681332359902302,0.44793782823517564,0.348614491798979,0.20344767996584534
40083,50012,2021-22,2,38,Eibar,Zaragoza,1,0,2022-04-30,1651269600,1,1,74,38,21,11,6,55,40,71,37,20,11,6,54,40,,,,12,12,49,38,10,19,9,33,38,49,37,10,19,8,33,37,,,,0.5931603106107437,-0.465169814542297,-1.3451896785856086,-0.7965681656542011,-0.3272282818361497,0.16670776216599095,0.44187809031369735,0.11642445035718893,0.4416974593291137
40080,50009,2021-22,2,38,Alcorcon,Girona,0,1,2022-05-01,1651356000,22,22,22,38,4,10,24,32,68,22,37,4,10,23,32,67,,,,5,5,64,38,19,7,12,54,39,61,37,18,7,12,53,39,,,,-1.3964635200023199,-0.09172090493396676,0.4510699601006108,0.9304302409287233,-0.9910351659999903,-1.1591752033047173,0.1715745914851234,0.5499078237672352,0.2785175847476414
40081,50010,2021-22,2,38,Amorebieta,Fuenlabrada,1,0,2022-05-01,1651356000,19,19,37,38,7,16,15,41,54,34,37,6,16,15,40,54,,,,21,21,29,38,5,14,19,33,56,29,37,5,14,18,33,55,,,,-0.6607836805898806,0.13747467287155934,-0.422316722389444,0.24544062122403232,-0.017248080830248876,-1.4840433763213183,0.4724988987355423,0.12822073587959354,0.39928036538486417
40084,50013,2021-22,2,38,Lugo,Tenerife,0,0,2022-05-01,1651356000,14,14,47,38,9,20,9,43,45,46,37,9,19,9,43,45,,,,4,4,64,38,18,10,10,49,31,63,37,18,9,10,49,31,,,,-0.06013253480428942,0.14757895475233151,-1.1599067391100546,-0.40595041067955034,0.6727732958594137,-1.5186847436270168,0.3338368514774215,0.310680891445726,0.35548225707685266
40085,50014,2021-22,2,38,Ponferradina,Cartagena,2,0,2022-05-01,1651356000,7,7,60,38,16,12,10,52,46,57,37,15,12,10,50,46,,,,9,10,52,38,16,4,18,53,53,52,37,16,4,17,53,51,,,,-0.018077412260165623,-0.13918790175569948,-0.8551516787356758,-0.3524914979417456,-0.5444577296740917,-0.06877611971473363,0.5979333346649637,0.17514711413549122,0.22691955119954504
