date,home,away,home_goals,away_goals
2016-09-21,Real Sociedad,Las Palmas,4,1
2016-09-21,Celta,Sporting de Gijon,2,1
2016-09-21,Real Madrid,Villarreal,1,1
2016-09-21,Barcelona,Atletico de Madrid,1,1
2016-09-21,Granada,Atletico de Bilbao,1,2
2016-09-22,Osasuna,Espanol,1,2
2016-09-22,Deportivo,Leganes,1,2
2016-09-22,Valencia,Alaves,2,1
2016-09-23,Betis,Malaga,1,0
2016-09-24,Eibar,Real Sociedad,2,0
2016-09-24,Sporting de Gijon,Barcelona,0,5
2016-09-24,Las Palmas,Real Madrid,2,2
2016-09-24,Atletico de Bilbao,Sevilla,3,1
2016-09-25,Villarreal,Osasuna,3,1
2016-09-25,Atletico de Madrid,Deportivo,1,0
2016-09-25,Espanol,Celta,0,2
2016-09-25,Leganes,Valencia,1,2
2016-09-26,Alaves,Granada,3,1
2016-09-30,Real Sociedad,Betis,1,0
2016-10-01,Osasuna,Las Palmas,2,2
2016-10-01,Granada,Leganes,0,1
2016-10-01,Sevilla,Alaves,2,1
2016-10-01,Deportivo,Sporting de Gijon,2,1
2016-10-02,Espanol,Villarreal,0,0
2016-10-02,Malaga,Atletico de Bilbao,2,1
2016-10-02,Real Madrid,Eibar,1,1
2016-10-02,Celta,Barcelona,4,3
2016-10-02,Valencia,Atletico de Madrid,0,2
2016-10-14,Las Palmas,Espanol,0,0
2016-10-15,Barcelona,Deportivo,4,0
2016-10-15,Atletico de Madrid,Granada,7,1
2016-10-15,Betis,Real Madrid,1,6
2016-10-15,Leganes,Sevilla,2,3
2016-10-16,Villarreal,Celta,5,0
2016-10-16,Atletico de Bilbao,Real Sociedad,3,2
2016-10-16,Alaves,Malaga,1,1
2016-10-16,Sporting de Gijon,Valencia,1,2
2016-10-17,Eibar,Osasuna,2,3
2016-10-21,Osasuna,Betis,1,2
2016-10-22,Granada,Sporting de Gijon,0,0
2016-10-22,Espanol,Eibar,3,3
2016-10-22,Valencia,Barcelona,2,3
2016-10-22,Real Sociedad,Alaves,3,0
2016-10-23,Celta,Deportivo,4,1
2016-10-23,Villarreal,Las Palmas,2,1
2016-10-23,Sevilla,Atletico de Madrid,1,0
2016-10-23,Real Madrid,Atletico de Bilbao,2,1
2016-10-23,Malaga,Leganes,4,0
2016-10-28,Leganes,Real Sociedad,0,2
2016-10-29,Alaves,Real Madrid,1,4
2016-10-29,Sporting de Gijon,Sevilla,1,1
2016-10-29,Barcelona,Granada,1,0
2016-10-29,Atletico de Madrid,Malaga,4,2
2016-10-30,Betis,Espanol,0,1
2016-10-30,Eibar,Villarreal,2,1
2016-10-30,Atletico de Bilbao,Osasuna,1,1
2016-10-30,Las Palmas,Celta,3,3
2016-10-31,Deportivo,Valencia,1,1
2016-11-04,Malaga,Sporting de Gijon,3,2
2016-11-05,Granada,Deportivo,1,1
2016-11-05,Real Sociedad,Atletico de Madrid,2,0
2016-11-05,Osasuna,Alaves,0,1
2016-11-05,Las Palmas,Eibar,1,0
2016-11-06,Espanol,Atletico de Bilbao,0,0
2016-11-06,Real Madrid,Leganes,3,0
2016-11-06,Celta,Valencia,2,1
2016-11-06,Villarreal,Betis,2,0
2016-11-06,Sevilla,Barcelona,1,2
2016-11-18,Betis,Las Palmas,2,0
2016-11-19,Atletico de Madrid,Real Madrid,0,3
2016-11-19,Barcelona,Malaga,0,0
2016-11-19,Eibar,Celta,1,0
2016-11-19,Deportivo,Sevilla,2,3
2016-11-20,Valencia,Granada,1,1
2016-11-20,Sporting de Gijon,Real Sociedad,1,3
2016-11-20,Atletico de Bilbao,Villarreal,1,0
2016-11-20,Alaves,Espanol,0,1
2016-11-21,Leganes,Osasuna,2,0
2016-11-25,Eibar,Betis,3,1
2016-11-26,Malaga,Deportivo,4,3
2016-11-26,Real Madrid,Sporting de Gijon,2,1
2016-11-26,Espanol,Leganes,3,0
2016-11-26,Sevilla,Valencia,2,1
2016-11-27,Real Sociedad,Barcelona,1,1
2016-11-27,Osasuna,Atletico de Madrid,0,3
2016-11-27,Villarreal,Alaves,0,2
2016-11-27,Celta,Granada,3,1
2016-11-28,Las Palmas,Atletico de Bilbao,3,1
2016-12-03,Granada,Sevilla,2,1
2016-12-03,Barcelona,Real Madrid,1,1
2016-12-03,Leganes,Villarreal,0,0
2016-12-03,Atletico de Madrid,Espanol,0,0
2016-12-04,Betis,Celta,3,3
2016-12-04,Valencia,Malaga,2,2
2016-12-04,Sporting de Gijon,Osasuna,3,1
2016-12-04,Atletico de Bilbao,Eibar,3,1
2016-12-04,Alaves,Las Palmas,1,1
2016-12-05,Deportivo,Real Sociedad,5,1
2016-12-09,Malaga,Granada,1,1
2016-12-10,Osasuna,Barcelona,0,3
2016-12-10,Real Sociedad,Valencia,3,2
2016-12-10,Las Palmas,Leganes,1,1
2016-12-10,Real Madrid,Deportivo,3,2
2016-12-11,Betis,Atletico de Bilbao,1,0
2016-12-11,Espanol,Sporting de Gijon,2,1
2016-12-11,Eibar,Alaves,0,0
2016-12-11,Celta,Sevilla,0,3
2016-12-12,Villarreal,Atletico de Madrid,3,0
2016-12-16,Alaves,Betis,1,0
2016-12-17,Sevilla,Malaga,4,1
2016-12-17,Granada,Real Sociedad,0,2
2016-12-17,Atletico de Madrid,Las Palmas,1,0
2016-12-17,Sporting de Gijon,Villarreal,1,3
2016-12-18,Barcelona,Espanol,4,1
2016-12-18,Leganes,Eibar,1,1
2016-12-18,Deportivo,Osasuna,2,0
2016-12-19,Atletico de Bilbao,Celta,2,1
2017-01-06,Espanol,Deportivo,1,1
2017-01-07,Real Sociedad,Sevilla,0,4
2017-01-07,Las Palmas,Sporting de Gijon,1,0
2017-01-07,Eibar,Atletico de Madrid,0,2
2017-01-07,Real Madrid,Granada,5,0
2017-01-08,Atletico de Bilbao,Alaves,0,0
2017-01-08,Celta,Malaga,3,1
2017-01-08,Betis,Leganes,2,0
2017-01-08,Villarreal,Barcelona,1,1
2017-01-09,Osasuna,Valencia,3,3
2017-01-14,Deportivo,Villarreal,0,0
2017-01-14,Barcelona,Las Palmas,5,0
2017-01-14,Atletico de Madrid,Betis,1,0
2017-01-14,Leganes,Atletico de Bilbao,0,0
2017-01-15,Sevilla,Real Madrid,2,1
2017-01-15,Sporting de Gijon,Eibar,2,3
2017-01-15,Celta,Alaves,1,0
2017-01-15,Valencia,Espanol,2,1
2017-01-15,Granada,Osasuna,1,1
2017-01-16,Malaga,Real Sociedad,0,2
2017-01-20,Las Palmas,Deportivo,1,1
2017-01-21,Alaves,Leganes,2,2
2017-01-21,Villarreal,Valencia,0,2
2017-01-21,Real Madrid,Malaga,2,1
2017-01-21,Espanol,Granada,3,1
2017-01-22,Osasuna,Sevilla,3,4
2017-01-22,Atletico de Bilbao,Atletico de Madrid,2,2
2017-01-22,Real Sociedad,Celta,1,0
2017-01-22,Betis,Sporting de Gijon,0,0
2017-01-22,Eibar,Barcelona,0,4
2017-01-27,Osasuna,Malaga,1,1
2017-01-28,Eibar,Deportivo,3,1
2017-01-28,Villarreal,Granada,2,0
2017-01-28,Alaves,Atletico de Madrid,0,0
2017-01-28,Leganes,Celta,0,2
2017-01-29,Atletico de Bilbao,Sporting de Gijon,2,1
2017-01-29,Real Madrid,Real Sociedad,3,0
2017-01-29,Espanol,Sevilla,3,1
2017-01-29,Betis,Barcelona,1,1
2017-01-30,Las Palmas,Valencia,3,1
2017-02-04,Malaga,Espanol,0,1
2017-02-04,Valencia,Eibar,0,4
2017-02-04,Barcelona,Atletico de Bilbao,3,0
2017-02-04,Atletico de Madrid,Leganes,2,0
2017-02-05,Sevilla,Villarreal,0,0
2017-02-05,Real Sociedad,Osasuna,3,2
2017-02-05,Sporting de Gijon,Alaves,2,4
2017-02-06,Granada,Las Palmas,1,0
2017-02-10,Espanol,Real Sociedad,1,2
2017-02-11,Betis,Valencia,0,0
2017-02-11,Atletico de Bilbao,Deportivo,2,1
2017-02-11,Alaves,Barcelona,0,6
2017-02-11,Osasuna,Real Madrid,1,3
2017-02-12,Las Palmas,Sevilla,0,1
2017-02-12,Leganes,Sporting de Gijon,0,2
2017-02-12,Villarreal,Malaga,1,1
2017-02-12,Atletico de Madrid,Celta,3,2
2017-02-13,Eibar,Granada,4,0
2017-02-17,Granada,Betis,4,1
2017-02-18,Sporting de Gijon,Atletico de Madrid,1,4
2017-02-18,Deportivo,Alaves,0,1
2017-02-18,Sevilla,Eibar,2,0
2017-02-18,Real Madrid,Espanol,2,0
2017-02-19,Real Sociedad,Villarreal,0,1
2017-02-19,Valencia,Atletico de Bilbao,2,0
2017-02-19,Barcelona,Leganes,2,1
2017-02-19,Celta,Osasuna,3,0
2017-02-20,Malaga,Las Palmas,2,1
2017-02-22,Valencia,Real Madrid,2,1
2017-02-24,Las Palmas,Real Sociedad,0,1
2017-02-25,Leganes,Deportivo,4,0
2017-02-25,Betis,Sevilla,1,2
2017-02-25,Alaves,Valencia,2,1
2017-02-25,Eibar,Malaga,3,0
2017-02-26,Villarreal,Real Madrid,2,3
2017-02-26,Atletico de Bilbao,Granada,3,1
2017-02-26,Espanol,Osasuna,3,0
2017-02-26,Sporting de Gijon,Celta,1,1
2017-02-26,Atletico de Madrid,Barcelona,1,2
2017-02-28,Valencia,Leganes,1,0
2017-02-28,Malaga,Betis,1,2
2017-02-28,Real Sociedad,Eibar,2,2
2017-03-01,Granada,Alaves,2,1
2017-03-01,Barcelona,Sporting de Gijon,6,1
2017-03-01,Celta,Espanol,2,2
2017-03-01,Real Madrid,Las Palmas,3,3
2017-03-01,Osasuna,Villarreal,1,4
2017-03-02,Sevilla,Atletico de Bilbao,1,0
2017-03-02,Deportivo,Atletico de Madrid,1,1
2017-03-03,Betis,Real Sociedad,2,3
2017-03-04,Barcelona,Celta,5,0
2017-03-04,Villarreal,Espanol,2,0
2017-03-04,Eibar,Real Madrid,1,4
2017-03-04,Leganes,Granada,1,0
2017-03-05,Sporting de Gijon,Deportivo,0,1
2017-03-05,Atletico de Bilbao,Malaga,1,0
2017-03-05,Las Palmas,Osasuna,5,2
2017-03-05,Atletico de Madrid,Valencia,3,0
2017-03-06,Alaves,Sevilla,1,1
2017-03-08,Deportivo,Betis,1,1
2017-03-10,Espanol,Las Palmas,4,3
2017-03-11,Valencia,Sporting de Gijon,1,1
2017-03-11,Granada,Atletico de Madrid,0,1
2017-03-11,Malaga,Alaves,1,2
2017-03-11,Sevilla,Leganes,1,1
2017-03-12,Celta,Villarreal,0,1
2017-03-12,Deportivo,Barcelona,2,1
2017-03-12,Real Sociedad,Atletico de Bilbao,0,2
2017-03-12,Real Madrid,Betis,2,1
2017-03-13,Osasuna,Eibar,1,1
2017-03-17,Las Palmas,Villarreal,1,0
2017-03-18,Eibar,Espanol,1,1
2017-03-18,Betis,Osasuna,2,0
2017-03-18,Alaves,Real Sociedad,1,0
2017-03-18,Atletico de Bilbao,Real Madrid,1,2
2017-03-19,Atletico de Madrid,Sevilla,3,1
2017-03-19,Leganes,Malaga,0,0
2017-03-19,Deportivo,Celta,0,1
2017-03-19,Barcelona,Valencia,4,2
2017-03-19,Sporting de Gijon,Granada,3,1
2017-03-31,Espanol,Betis,2,1
2017-04-01,Villarreal,Eibar,2,3
2017-04-01,Osasuna,Atletico de Bilbao,1,2
2017-04-01,Real Sociedad,Leganes,1,1
2017-04-01,Malaga,Atletico de Madrid,0,2
2017-04-02,Real Madrid,Alaves,3,0
2017-04-02,Sevilla,Sporting de Gijon,0,0
2017-04-02,Granada,Barcelona,1,4
2017-04-02,Valencia,Deportivo,3,0
2017-04-03,Celta,Las Palmas,3,1
2017-04-04,Betis,Villarreal,0,1
2017-04-04,Atletico de Madrid,Real Sociedad,1,0
2017-04-04,Atletico de Bilbao,Espanol,2,0
2017-04-05,Barcelona,Sevilla,3,0
2017-04-05,Leganes,Real Madrid,2,4
2017-04-05,Deportivo,Granada,0,0
2017-04-05,Alaves,Osasuna,0,1
2017-04-05,Sporting de Gijon,Malaga,0,1
2017-04-06,Eibar,Las Palmas,3,1
2017-04-06,Valencia,Celta,3,2
2017-04-07,Villarreal,Atletico de Bilbao,3,1
2017-04-08,Real Madrid,Atletico de Madrid,1,1
2017-04-08,Espanol,Alaves,1,0
2017-04-08,Malaga,Barcelona,2,0
2017-04-08,Sevilla,Deportivo,4,2
2017-04-09,Las Palmas,Betis,4,1
2017-04-09,Granada,Valencia,1,3
2017-04-09,Celta,Eibar,0,2
2017-04-09,Osasuna,Leganes,2,1
2017-04-10,Real Sociedad,Sporting de Gijon,3,1
2017-04-14,Atletico de Bilbao,Las Palmas,5,1
2017-04-15,Deportivo,Malaga,2,0
2017-04-15,Atletico de Madrid,Osasuna,3,0
2017-04-15,Barcelona,Real Sociedad,3,2
2017-04-15,Sporting de Gijon,Real Madrid,2,3
2017-04-16,Leganes,Espanol,0,1
2017-04-16,Valencia,Sevilla,0,0
2017-04-16,Betis,Eibar,2,0
2017-04-16,Granada,Celta,0,3
2017-04-17,Alaves,Villarreal,2,1
2017-04-21,Sevilla,Granada,2,0
2017-04-22,Espanol,Atletico de Madrid,0,1
2017-04-22,Osasuna,Sporting de Gijon,2,2
2017-04-22,Malaga,Valencia,2,0
2017-04-22,Villarreal,Leganes,2,1
2017-04-23,Real Sociedad,Deportivo,1,0
2017-04-23,Real Madrid,Barcelona,2,3
2017-04-23,Las Palmas,Alaves,1,1
2017-04-23,Celta,Betis,0,1
2017-04-24,Eibar,Atletico de Bilbao,0,1
2017-04-25,Atletico de Madrid,Villarreal,0,1
2017-04-25,Granada,Malaga,0,2
2017-04-25,Sporting de Gijon,Espanol,1,1
2017-04-26,Barcelona,Osasuna,7,1
2017-04-26,Valencia,Real Sociedad,2,3
2017-04-26,Leganes,Las Palmas,3,0
2017-04-26,Deportivo,Real Madrid,2,6
2017-04-27,Sevilla,Celta,2,1
2017-04-27,Atletico de Bilbao,Betis,2,1
2017-04-27,Alaves,Eibar,0,0
2017-04-28,Villarreal,Sporting de Gijon,3,1
2017-04-29,Espanol,Barcelona,0,3
2017-04-29,Real Sociedad,Granada,2,1
2017-04-29,Real Madrid,Valencia,2,1
2017-04-29,Las Palmas,Atletico de Madrid,0,5
2017-04-30,Betis,Alaves,1,4
2017-04-30,Osasuna,Deportivo,2,2
2017-04-30,Eibar,Leganes,2,0
2017-04-30,Celta,Atletico de Bilbao,0,3
2017-05-01,Malaga,Sevilla,4,2
2017-05-05,Sevilla,Real Sociedad,1,1
2017-05-06,Atletico de Madrid,Eibar,1,0
2017-05-06,Barcelona,Villarreal,4,1
2017-05-06,Sporting de Gijon,Las Palmas,1,0
2017-05-06,Granada,Real Madrid,0,4
2017-05-07,Deportivo,Espanol,1,2
2017-05-07,Malaga,Celta,3,0
2017-05-07,Alaves,Atletico de Bilbao,1,0
2017-05-07,Valencia,Osasuna,4,1
2017-05-08,Leganes,Betis,4,0
2017-05-13,Osasuna,Granada,2,1
2017-05-13,Espanol,Valencia,0,1
2017-05-14,Villarreal,Deportivo,0,0
2017-05-14,Real Madrid,Sevilla,4,1
2017-05-14,Atletico de Bilbao,Leganes,1,1
2017-05-14,Las Palmas,Barcelona,1,4
2017-05-14,Betis,Atletico de Madrid,1,1
2017-05-14,Alaves,Celta,3,1
2017-05-14,Real Sociedad,Malaga,2,2
2017-05-14,Eibar,Sporting de Gijon,0,1
2017-05-17,Celta,Real Madrid,1,4
2017-05-19,Granada,Espanol,1,2
2017-05-20,Deportivo,Las Palmas,3,0
2017-05-20,Sporting de Gijon,Betis,2,2
2017-05-20,Leganes,Alaves,1,1
2017-05-20,Sevilla,Osasuna,5,0
2017-05-21,Barcelona,Eibar,4,2
2017-05-21,Atletico de Madrid,Atletico de Bilbao,3,1
2017-05-21,Celta,Real Sociedad,2,2
2017-05-21,Valencia,Villarreal,1,3
2017-05-21,Malaga,Real Madrid,0,2
2017-08-18,Leganes,Alaves,1,0
2017-08-18,Valencia,Las Palmas,1,0
2017-08-19,Sevilla,Espanol,1,1
2017-08-19,Girona,Atletico de Madrid,2,2
2017-08-19,Celta,Real Sociedad,2,3
2017-08-20,Deportivo,Real Madrid,0,3
2017-08-20,Atletico de Bilbao,Getafe,0,0
2017-08-20,Barcelona,Betis,2,0
2017-08-21,Malaga,Eibar,0,1
2017-08-21,Levante,Villarreal,1,0
2017-08-25,Betis,Celta,2,1
2017-08-25,Real Sociedad,Villarreal,3,0
2017-08-26,Alaves,Barcelona,0,2
2017-08-26,Levante,Deportivo,2,2
2017-08-26,Las Palmas,Atletico de Madrid,1,5
2017-08-26,Girona,Malaga,1,0
2017-08-27,Eibar,Atletico de Bilbao,0,1
2017-08-27,Getafe,Sevilla,0,1
2017-08-27,Espanol,Leganes,0,1
2017-08-27,Real Madrid,Valencia,2,2
2017-09-08,Leganes,Getafe,1,2
2017-09-09,Real Madrid,Levante,1,1
2017-09-09,Sevilla,Eibar,3,0
2017-09-09,Valencia,Atletico de Madrid,0,0
2017-09-09,Barcelona,Espanol,5,0
2017-09-10,Atletico de Bilbao,Girona,2,0
2017-09-10,Celta,Alaves,1,0
2017-09-10,Deportivo,Real Sociedad,2,4
2017-09-10,Villarreal,Betis,3,1
2017-09-11,Malaga,Las Palmas,1,3
2017-09-15,Eibar,Leganes,1,0
2017-09-16,Betis,Deportivo,2,1
2017-09-16,Getafe,Barcelona,1,2
2017-09-16,Levante,Valencia,1,1
2017-09-16,Atletico de Madrid,Malaga,1,0
2017-09-17,Girona,Sevilla,0,1
2017-09-17,Las Palmas,Atletico de Bilbao,1,0
2017-09-17,Real Sociedad,Real Madrid,1,3
2017-09-17,Alaves,Villarreal,0,3
2017-09-18,Espanol,Celta,2,1
2017-09-19,Valencia,Malaga,5,0
2017-09-19,Barcelona,Eibar,6,1
2017-09-20,Leganes,Girona,0,0
2017-09-20,Real Madrid,Betis,0,1
2017-09-20,Deportivo,Alaves,1,0
2017-09-20,Atletico de Bilbao,Atletico de Madrid,1,2
2017-09-20,Sevilla,Las Palmas,1,0
2017-09-21,Celta,Getafe,1,1
2017-09-21,Levante,Real Sociedad,3,0
2017-09-21,Villarreal,Espanol,0,0
2017-09-23,Atletico de Madrid,Sevilla,2,0
2017-09-23,Girona,Barcelona,0,3
2017-09-23,Alaves,Real Madrid,1,2
2017-09-23,Malaga,Atletico de Bilbao,3,3
2017-09-24,Eibar,Celta,0,4
2017-09-24,Las Palmas,Leganes,0,2
2017-09-24,Espanol,Deportivo,4,1
2017-09-24,Real Sociedad,Valencia,2,3
2017-09-24,Getafe,Villarreal,4,0
2017-09-25,Betis,Levante,4,0
2017-09-29,Celta,Girona,3,3
2017-09-30,Deportivo,Getafe,2,1
2017-09-30,Sevilla,Malaga,2,0
2017-09-30,Levante,Alaves,0,2
2017-09-30,Leganes,Atletico de Madrid,0,0
2017-10-01,Real Sociedad,Betis,4,4
2017-10-01,Barcelona,Las Palmas,3,0
2017-10-01,Valencia,Atletico de Bilbao,3,2
2017-10-01,Villarreal,Eibar,3,0
2017-10-01,Real Madrid,Espanol,2,0
2017-10-13,Espanol,Levante,0,0
2017-10-14,Alaves,Real Sociedad,0,2
2017-10-14,Getafe,Real Madrid,1,2
2017-10-14,Atletico de Bilbao,Sevilla,1,0
2017-10-14,Atletico de Madrid,Barcelona,1,1
2017-10-15,Malaga,Leganes,0,2
2017-10-15,Eibar,Deportivo,0,0
2017-10-15,Girona,Villarreal,1,2
2017-10-15,Betis,Valencia,3,6
2017-10-16,Las Palmas,Celta,2,5
2017-10-21,Betis,Alaves,2,0
2017-10-21,Valencia,Sevilla,4,0
2017-10-21,Barcelona,Malaga,2,0
2017-10-21,Levante,Getafe,1,1
2017-10-22,Leganes,Atletico de Bilbao,1,0
2017-10-22,Real Madrid,Eibar,3,0
2017-10-22,Villarreal,Las Palmas,4,0
2017-10-22,Celta,Atletico de Madrid,0,1
2017-10-23,Real Sociedad,Espanol,1,1
2017-10-23,Deportivo,Girona,1,2
2017-10-28,Sevilla,Leganes,2,1
2017-10-28,Atletico de Bilbao,Barcelona,0,2
2017-10-28,Atletico de Madrid,Villarreal,1,1
2017-10-28,Alaves,Valencia,1,2
2017-10-29,Getafe,Real Sociedad,2,1
2017-10-29,Eibar,Levante,2,2
2017-10-29,Malaga,Celta,2,1
2017-10-29,Girona,Real Madrid,2,1
2017-10-30,Espanol,Betis,1,0
2017-10-30,Las Palmas,Deportivo,1,3
2017-11-03,Betis,Getafe,2,2
2017-11-04,Valencia,Leganes,3,0
2017-11-04,Deportivo,Atletico de Madrid,0,1
2017-11-04,Barcelona,Sevilla,2,1
2017-11-04,Alaves,Espanol,1,0
2017-11-05,Celta,Atletico de Bilbao,3,1
2017-11-05,Real Sociedad,Eibar,3,1
2017-11-05,Villarreal,Malaga,2,0
2017-11-05,Levante,Girona,1,2
2017-11-05,Real Madrid,Las Palmas,3,0
2017-11-17,Girona,Real Sociedad,1,1
2017-11-18,Getafe,Alaves,4,1
2017-11-18,Atletico de Madrid,Real Madrid,0,0
2017-11-18,Sevilla,Celta,2,1
2017-11-18,Leganes,Barcelona,0,3
2017-11-19,Atletico de Bilbao,Villarreal,1,1
2017-11-19,Malaga,Deportivo,3,2
2017-11-19,Espanol,Valencia,0,2
2017-11-19,Las Palmas,Levante,0,2
2017-11-20,Eibar,Betis,5,0
2017-11-24,Celta,Leganes,1,0
2017-11-25,Levante,Atletico de Madrid,0,5
2017-11-25,Alaves,Eibar,1,2
2017-11-25,Betis,Girona,2,2
2017-11-25,Real Madrid,Malaga,3,2
2017-11-26,Real Sociedad,Las Palmas,2,2
2017-11-26,Deportivo,Atletico de Bilbao,2,2
2017-11-26,Villarreal,Sevilla,2,3
2017-11-26,Valencia,Barcelona,1,1
2017-11-27,Espanol,Getafe,1,0
2017-12-01,Malaga,Levante,0,0
2017-12-02,Barcelona,Celta,2,2
2017-12-02,Atletico de Madrid,Real Sociedad,2,1
2017-12-02,Sevilla,Deportivo,2,0
2017-12-02,Atletico de Bilbao,Real Madrid,0,0
2017-12-03,Las Palmas,Betis,1,0
2017-12-03,Getafe,Valencia,1,0
2017-12-03,Eibar,Espanol,3,1
2017-12-03,Leganes,Villarreal,3,1
2017-12-04,Girona,Alaves,2,3
2017-12-08,Alaves,Las Palmas,2,0
2017-12-09,Getafe,Eibar,0,0
2017-12-09,Real Madrid,Sevilla,5,0
2017-12-09,Valencia,Celta,2,1
2017-12-09,Deportivo,Leganes,1,0
2017-12-10,Real Sociedad,Malaga,0,2
2017-12-10,Villarreal,Barcelona,0,2
2017-12-10,Levante,Atletico de Bilbao,1,2
2017-12-10,Betis,Atletico de Madrid,0,1
2017-12-11,Espanol,Girona,0,1
2017-12-15,Sevilla,Levante,0,0
2017-12-16,Atletico de Madrid,Alaves,1,0
2017-12-16,Eibar,Valencia,2,1
2017-12-16,Atletico de Bilbao,Real Sociedad,0,0
2017-12-17,Girona,Getafe,1,0
2017-12-17,Barcelona,Deportivo,4,0
2017-12-17,Las Palmas,Espanol,2,2
2017-12-17,Celta,Villarreal,0,1
2017-12-18,Malaga,Betis,0,2
2017-12-19,Levante,Leganes,0,0
2017-12-20,Real Sociedad,Sevilla,3,1
2017-12-20,Getafe,Las Palmas,2,0
2017-12-21,Eibar,Girona,4,1
2017-12-21,Alaves,Malaga,1,0
2017-12-22,Espanol,Atletico de Madrid,1,0
2017-12-22,Betis,Atletico de Bilbao,0,2
